ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
1173,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,21","0,00","97,66","19,53",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1174,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,92","0,00","94,85","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1175,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,82","0,00","95,11","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1176,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,54","0,00","47,08","81,88",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1177,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,24","0,00","97,84","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1178,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,89","0,00","94,98","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1179,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,18","0,00","95,07","19,00",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1180,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,41","0,00","47,27","81,68",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1181,0.00,encode_blocks_kernel,encode_blocks_kernel..,"552,22","0,00","97,88","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1182,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,08","0,00","94,94","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1183,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,82","0,00","95,09","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1184,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,82","0,00","47,02","81,61",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1185,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,43","0,00","97,85","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1186,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,89","0,00","94,97","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1187,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,60","0,00","95,03","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1188,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,44","0,00","47,43","81,80",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1189,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,69","0,00","97,55","19,51",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1190,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,05","0,00","95,01","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1191,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,89","0,00","94,96","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1192,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,86","0,00","47,25","81,22",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1193,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,18","0,00","97,89","19,58",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1194,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,27","0,00","94,94","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1195,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,98","0,00","94,98","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1196,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,76","0,00","46,90","81,77",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1197,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,43","0,00","97,85","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1198,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,92","0,00","95,04","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1199,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,79","0,00","95,05","19,00",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1200,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,31","0,00","47,21","82,21",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1201,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,11","0,00","97,82","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1202,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,08","0,00","94,91","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1203,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,95","0,00","94,88","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1204,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,41","0,00","47,05","82,24",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1205,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,37","0,00","97,84","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1206,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,70","0,00","94,86","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1207,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,79","0,00","94,93","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1208,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,70","0,00","47,34","81,89",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1209,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,18","0,00","97,84","19,56",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1210,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,73","0,00","94,87","18,96",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1211,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,79","0,00","95,16","19,02",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
